INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
2/5/15,27-FEB-15,2359,ELDORADO HOTEL CASINO,Feb. Brunch and a Movie,"GENERAL FUND-Parks, Rec. & Community Service-Senior Development-Recreation Activities-Outside services-other",Parks and Recreation,1300,"Parks, Rec. & Community Service-Senior Development",1300-1360,Fiscal 14/15,167.76
PPE 1/22/15,30-JAN-15,1212,COMMUNITY FOUNDATION OF WESTERN NEVADA,ADP PAYROLL - VENDORS PD BY CHECK,GENERAL FUND-Community Foundation Western NV,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,15
RMCVA00001,16-JAN-15,20396,GREAT BASIN COUNSELING,MEDICAL/DENTAL SERVICES,GENERAL FUND-Municipal Court-Judicial Proceedings-Miscellaneous operating expense,Municipal Court,1100,Municipal Court-Judicial Proceedings,1100-1160,Fiscal 14/15,200
2015-00002489,16-JAN-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,261
RENOCAP05A_1214,02-DEC-14,474,THE BANK OF NEW YORK,14CZA204882S0B88,EVENT CENTER BOND DEBT FUND-Debt Service-Non-Departmental-Interest-SWAP-05A Cap Imprv Rev,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,3013.79
2015-00002492,16-JAN-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1747
2015-00002623,06-FEB-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,626
DEC 2014/CA,02-JAN-15,8501,NINO DE GUZMAN,"LEGAL SERVICES, Interpreters",GENERAL FUND-City Attorney-Criminal Division-Outside services-personnel,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,750
2015-00002625,06-FEB-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2
SERIES F_0315,02-MAR-15,222,US BANK,RFDG BDS SENIOR LIEN,REDEVELOPMENT #1 DEBT SERVICE-Debt Service-Non-Departmental-Interest-tax increment 98f,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,109250
2015-00002022,14-NOV-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
14910,30-JAN-15,5080,NOBLE STUDIOS,Repair broken links to Watershed Map,SANITARY SEWER O/M FUND-Public Works-Environmental Control-Outside services-other,Public Works,1200,Public Works-Environmental Control,1200-1270,Fiscal 14/15,1387.5
899518815-087,06-MAR-15,17571,SPRINT,CELLULAR SERVICES - WIRELESS CARDS,GENERAL FUND-Police-Investigations-Communication,Police,0800,Police-Investigations,0800-0860,Fiscal 14/15,48.87
50947264,20-FEB-15,988,BNA,SUBSCRIPTIONS/BOOKS/MANUALS/PUBLICATIONS,GENERAL FUND-Human Resources-Employee Services-Miscellaneous operating expense,Human Resources,0600,Human Resources-Employee Services,0600-0675,Fiscal 14/15,739
2015-00002711,20-FEB-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,101
92900633,26-DEC-14,6555,ESRI INC,ArcGIS,STREET FUND-Public Works-Capital Projects-Outside services-other,Public Works,1200,Public Works-Capital Projects,1200-1200,Fiscal 14/15,400.05
109552,13-FEB-15,411,MACHABEE OFFICE ENVIRONMENTS,2nd floor office cube furniture,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,24.8
1452274,02-JAN-15,2359,ELDORADO HOTEL CASINO,Brunch and a Movie December,"GENERAL FUND-Parks, Rec. & Community Service-Senior Development-Recreation Activities-Outside services-other",Parks and Recreation,1300,"Parks, Rec. & Community Service-Senior Development",1300-1360,Fiscal 14/15,195.72
899518815-088,03-APR-15,17571,SPRINT,CELLULAR SERVICES - WIRELESS CARDS,GENERAL FUND-Police-Investigations-Communication,Police,0800,Police-Investigations,0800-0860,Fiscal 14/15,48.87
LCI-104550,10-OCT-14,17571,SPRINT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-Police-Investigations-Outside services-other,Police,0800,Police-Investigations,0800-0860,Fiscal 14/15,30
50951790,03-APR-15,988,BNA,SUBSCRIPTIONS/BOOKS/MANUALS/PUBLICATIONS,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,2062.1
2015-00002488,16-JAN-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,123
140809,13-MAR-15,6352,,ABS Submersible Mixer,SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Supplies,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,329.45
140809,13-MAR-15,6352,,ABS Submersible Mixer,SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Supplies,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,9995
2603821,13-MAR-15,5596,,Exercise Equipment,"GENERAL FUND-Parks, Rec. & Community Service-Recreation-Inclusion-Adaptive Programs-Supplies",Parks and Recreation,1300,"Parks, Rec. & Community Service-Recreation-Inclusion",1300-1351,Fiscal 14/15,4992
109552,13-FEB-15,411,MACHABEE OFFICE ENVIRONMENTS,2nd floor office cube furniture,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,95.2
2015-00003065,03-APR-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,258
1398860,12-DEC-14,2359,ELDORADO HOTEL CASINO,Brunch and a Movie November,"GENERAL FUND-Parks, Rec. & Community Service-Senior Development-Recreation Activities-Outside services-other",Parks and Recreation,1300,"Parks, Rec. & Community Service-Senior Development",1300-1360,Fiscal 14/15,223.68
2015-00002484,16-JAN-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,743
109552,13-FEB-15,411,MACHABEE OFFICE ENVIRONMENTS,2nd floor office cube furniture,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,340.8
WE 01082015,08-JAN-15,6043,,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,8752.61
NOV 2014,12-DEC-14,5582,,INSURANCE,GENERAL FUND-Insurance Retirees,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2676.68
6020,05-DEC-14,9999999999,TEMP,OVERPAYMENT,GENERAL FUND-Accounts payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,189.32
234-253-06,05-DEC-14,9999999999,TEMP,"REFUND, SPECIAL ASSESSMENTS","SAD SOMERSETT 2002 #4-Deposit, other",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,233.81
5444,05-DEC-14,92,SPERBER,RENTALS,GENERAL FUND-Fire-Fleet Management-Rentals,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,9680.08
2015-00001791,10-OCT-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,100
ST99440,03-APR-15,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Software",GENERAL FUND-City Attorney-Civil Division-Outside services-other,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,547.19
SV08983,03-APR-15,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Software",GENERAL FUND-City Attorney-Civil Division-Outside services-other,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,702.56
ST05269,03-APR-15,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Supplies",GENERAL FUND-City Attorney-Civil Division-Outside services-other,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,115.48
XJN676JT4,03-APR-15,8855,DELL COMPUTER CORP,Monitors for CAO,GENERAL FUND-City Attorney-Civil Division-Outside services-other,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,3223.92
E0230652005-4,03-APR-15,5504,NEVADA STATE SECRETARY OF,PROFESSIONAL SERVICES,GENERAL FUND-City Attorney-Civil Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Civil Litigation-Legal Council,0500-0550,Fiscal 14/15,50
4601,03-APR-15,19886,NORTHERN NEVADA INTERNATIONAL CENTER,"LEGAL SERVICES, Interpreters",GENERAL FUND-City Attorney-Criminal Division-Outside services-other,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,120
2015-00003049,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003045,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003043,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003054,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003040,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003041,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003038,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003047,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003048,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003053,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003036,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003037,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003051,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003046,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003035,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003050,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003052,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003042,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003039,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00003044,03-APR-15,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
IV0328076,03-APR-15,683,TRIPP PLASTICS INC,OFFICE SUPPLIES,GENERAL FUND-City Clerk-Council Support-Supplies,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,32.18
71140877-004,03-APR-15,6395,,STAFFING/TEMPORARY SERVICES,GENERAL FUND-City Clerk-Council Support-Outside services-personnel,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,173.94
71142010-004,03-APR-15,6395,,STAFFING/TEMPORARY SERVICES,GENERAL FUND-City Clerk-Council Support-Outside services-personnel,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,514.25
2015-00003034,03-APR-15,1994,ARROW VENDING INC,FOOD,GENERAL FUND-City Council-Legislative-Miscellaneous operating expense,City Council,0100,City Council-Legislative,0100-0180,Fiscal 14/15,93
2015-00003020,03-APR-15,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-City Council-Legislative-Communication,City Council,0100,City Council-Legislative,0100-0180,Fiscal 14/15,39.38
96017,03-APR-15,137,COSTCO,FOOD,GENERAL FUND-City Council-Legislative-Miscellaneous operating expense,City Council,0100,City Council-Legislative,0100-0180,Fiscal 14/15,68.72
2015-00003020,03-APR-15,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-City Manager-Administration-Communication,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,78.76
XJMTFJW63,03-APR-15,8855,DELL COMPUTER CORP,Monitor for Agenda Coordinator,GENERAL FUND-City Manager-Administration-Supplies,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,339.36
55544421,03-APR-15,8858,HEWLETT-PACKARD,Laptop & Accessories for Agenda Coordinator,GENERAL FUND-City Manager-Administration-Supplies,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,159
55558479,03-APR-15,8858,HEWLETT-PACKARD,Laptop & Accessories for Agenda Coordinator,GENERAL FUND-City Manager-Administration-Supplies,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,143.2
55558479,03-APR-15,8858,HEWLETT-PACKARD,Laptop & Accessories for Agenda Coordinator,GENERAL FUND-City Manager-Administration-Supplies,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,1049
0004356889,03-APR-15,3195,RENO GAZETTE JOURNAL,543310,GENERAL FUND-City Manager-NABS'S and Outreach-Outside services-other,City Manager,0300,City Manager-Neighborhood Services,0300-0166,Fiscal 14/15,1600
2015-00003014,03-APR-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-City Manager-Public Information-Communication,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,328.41
168840,03-APR-15,497,GORDON'S PHOTO SERVICE,Camera and accessories,GENERAL FUND-City Manager-Public Information-Supplies to be tracked - PEG Fees,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,3099
758367312001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,57.75
756637831001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.99
757513219001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,7.95
757514549001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,29.25
756920508001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,44.98
758765823001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,910
758932455001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,92.7
758763859001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,47.5
758370239001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,7.2
759361976001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,179.94
758999326001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,357.3
759361975001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,266.4
758726621001,03-APR-15,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,130.42
RENO012734,03-APR-15,6029,,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,2041
RENO012735,03-APR-15,6029,,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,1360
55558480,03-APR-15,8858,HEWLETT-PACKARD,Laptop for Special Events Manager,GENERAL FUND-City Manager-Special Events-Supplies,City Manager,0300,City Manager-Special Events,0300-0330,Fiscal 14/15,1049
55544424,03-APR-15,8858,HEWLETT-PACKARD,Laptop for Special Events Manager,GENERAL FUND-City Manager-Special Events-Supplies,City Manager,0300,City Manager-Special Events,0300-0330,Fiscal 14/15,159
55558480,03-APR-15,8858,HEWLETT-PACKARD,Laptop for Special Events Manager,GENERAL FUND-City Manager-Special Events-Supplies,City Manager,0300,City Manager-Special Events,0300-0330,Fiscal 14/15,143.2
2015-00003013,03-APR-15,33,BANK OF AMERICA - CARDS,BANKCARD SERVICES,"GENERAL FUND-Advance, purchasing card",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,195189.4
2015-00003074,03-APR-15,9999999999,TEMP,676158-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,122.79
1341557,03-APR-15,9999999999,TEMP,1010416-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,81.86
208547-GG,03-APR-15,9999999999,TEMP,1005967-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,122.79
2015-00003072,03-APR-15,9999999999,TEMP,RESTITUTION CITY OF RENO VS. RAMIRO JACE SOUKUP,"GENERAL FUND-Deposit, muni court restitution",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,185
2015-00003062,03-APR-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. CARLOS ADRIAN CHAVEZ-MORAN,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1297
2015-00003070,03-APR-15,9999999999,TEMP,RESTITUTION CITY OF RENO VS. JEFFREY SCOTT PLACE,"GENERAL FUND-Deposit, muni court restitution",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,30
2015-00003068,03-APR-15,9999999999,TEMP,RESTITUTION CITY OF RENO VS. MARK ANTHONY JACQUES,"GENERAL FUND-Deposit, muni court restitution",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,50
